"Station";"Net";"Municipality";"Lat (N)";"Lon (E)";"Elev (m)";"EC8/NTC topographic category";"NTC08 soil category";"NTC18 soil category";"Reference"
"MOMA";"IV";"Monte_Martano";"42.8010";"12.5681";"1040";"T2*";"A*";"missing";"none"
"MPAG";"IV";"Monte_Paganuccio";"43.6292";"12.7595";"930";"T2**";"B*";"missing";"none"
"MPAZ";"IV";"Palizzi";"37.9530";"16.0068";"503";"T2*";"A*";"missing";"none"
"MPRI";"OX";"Monte_Prat";"46.2408";"12.9877";"762";"T2**";"B*";"missing";"none"
"MRB1";"IV";"Monte_Rocchetta";"41.1227";"14.9681";"688";"T3*";"B*";"missing";"none"
"MRLC";"IV";"Muro_Lucano";"40.7564";"15.4889";"605";"T2*";"B*";"missing";"none"
"MRN3";"IX";"Marsico_Nuovo";"40.4256";"15.7296";"772";"T1*";"D*";"missing";"none"
"MRNE";"IV";"Marone";"45.7397";"10.1175";"600";"missing";"A*";"missing";"none"
"MSAG";"IV";"Monte_S_Angelo";"41.7120";"15.9096";"890";"T2**";"A*";"missing";"none"
"MSRU";"IV";"Castanea";"38.2639";"15.5083";"409";"T3*";"B*";"missing";"none"
"MTCL";"IT";"Monte_Cavallo";"42.9939";"12.9994";"660";"missing";"B*";"missing";"none"
"MTFT";"IT";"Montefortino";"42.9419";"13.3426";"582";"missing";"B*";"missing";"none"
"MTL1";"IV";"Matelica";"43.2567";"13.0096";"353";"T1";"C*";"missing";"none"
"MTMR";"IV";"Montemarano";"40.9184";"15.0025";"850";"T1*";"B**";"missing";"none"
"MTRA";"IV";"Matera_Acquasanta_Terme";"42.7566";"13.3965";"809";"T3*";"A*";"missing";"none"
"MTRZ";"IV";"Monterenzio";"44.3128";"11.4248";"570";"T3*";"B*";"missing";"none"
"MURB";"IV";"Monte_Urbino";"43.2630";"12.5246";"845";"T2**";"B*";"missing";"none"
"NAPI";"IX";"Monte_SantAngelo";"40.8400";"14.1800";"120";"T2*";"C*";"missing";"none"
"NDIM";"IV";"Novi_Modena";"44.8873";"10.8987";"19";"T1";"C";"C";"UniBas_SIGMA_Project(See full reference)"
"NEG8";"IV";"Negrar";"45.4976";"10.9482";"167";"missing";"A*";"missing";"none"
"NEVI";"IV";"Neviano_Arduini";"44.5809";"10.3130";"480";"T1**";"B*";"missing";"none"
"NOV";"IV";"Novara_di_Sicilia";"38.0278";"15.1367";"775";"T2*";"B*";"missing";"none"
"NRCA";"IV";"Norcia";"42.8335";"13.1142";"927";"T1*";"B";"B";"WG_INGV_DPC-B2_2018(See full reference)"
"NSC3";"IX";"Nusco";"40.8468";"15.1222";"1300";"T2**";"B**";"missing";"none"
"OPI";"IT";"Opi";"41.7763";"13.8302";"1170";"missing";"B*";"missing";"none"
"OPPE";"IV";"Oppenano";"45.3082";"11.1723";"20";"T1";"C";"C";"WG_INGV_DPC-B2_2017(See full reference)"
"ORP";"IT";"Orsara_di_Puglia";"41.2792";"15.2649";"717";"T1";"B";"missing";"none"
"ORZI";"IV";"Orzinuovi";"45.4056";"9.9307";"83";"T1";"C*";"missing";"none"
"OSSC";"IV";"Zona_Poggibonsi";"43.5235";"11.2457";"452";"T1";"B*";"missing";"none"
"OZOL";"ST";"Ozolo";"46.4040";"11.0518";"1219";"T4**";"A*";"missing";"none"
"PANI";"ST";"Panarotta";"46.0501";"11.3341";"1983";"T3*";"A**";"missing";"none"
"PAOL";"IV";"Paolisi";"41.0312";"14.5674";"715";"T2*";"A*";"missing";"none"
"PCN";"IV";"Piacenza";"45.0353";"9.7247";"55";"T1";"C**";"missing";"none"
"PCRO";"IV";"Pietra_Croce";"43.6076";"13.5323";"165";"T1";"B*";"missing";"none"
"PGN3";"IX";"Pignola";"40.5722";"15.7967";"882";"T1*";"A*";"missing";"none"
"PIEI";"IV";"Pieia";"43.5356";"12.5350";"665";"T3*";"A*";"missing";"none"
"PIGN";"IV";"Pignataro_Maggiore";"41.2000";"14.1798";"398";"T3*";"A*";"missing";"none"
"PIO1";"IV";"Pioraco";"43.1781";"12.9837";"460";"T1*";"B*";"missing";"none"
"PIPA";"IV";"Pietra_Paola";"39.4851";"16.8158";"479";"T1*";"B*";"missing";"none"
"PLAC";"IV";"Placanica";"38.4494";"16.4383";"602";"T2*";"A*";"missing";"none"
"PLRO";"OX";"Paularo";"46.5491";"13.1481";"1410";"T2*";"B*";"missing";"none"
"PLTA";"IT";"Palata";"41.8864";"14.7893";"486";"missing";"B*";"missing";"none"
"PNAL";"IT";"Ponte_nelle_Alpi";"46.1729";"12.2987";"462";"missing";"A*";"missing";"none"
"POFI";"IV";"Posta_Fibreno";"41.7174";"13.7120";"878";"T1";"A*";"missing";"none"
"PP3";"IV";"Macerata";"43.3778";"13.6095";"21";"T1";"C**";"missing";"none"
"PPL1";"IT";"Portopalo_Capo_Passero";"36.6857";"15.1328";"83";"T1";"B";"missing";"none"
"PRED";"OX";"Cave_Predil";"46.4428";"13.5650";"902";"T2";"A*";"missing";"none"
"PSB1";"IV";"Pesco_Sannita";"41.2234";"14.8107";"551";"T1";"B*";"missing";"none"
"PST3";"IX";"Postiglione";"40.5609";"15.2433";"762";"T3*";"B**";"missing";"none"
"PTRJ";"IV";"Pietraroja";"41.3641";"14.5290";"1027";"T2*";"A*";"missing";"none"
"PZUN";"IV";"Potenza";"40.6458";"15.8070";"820";"T1";"B*";"missing";"none"
"RCU";"IT";"Reggio_Calabria";"38.1214";"15.6662";"128";"T1";"B";"missing";"none"
"RDM3";"IX";"Ruvo_del_Monte";"40.8755";"15.5361";"784";"T3";"B*";"missing";"none"
"REMY";"GU";"Saint_Rhemy_en_Bosses";"45.8378";"7.1565";"2448";"T2*";"A**";"missing";"none"
"RM33";"IV";"zona_Paganica";"42.5089";"13.2145";"1097";"T2*";"B*";"missing";"none"
"RMMM";"IT";"Roma_Monte_Mario";"41.9232";"12.4526";"157";"T1";"B*";"missing";"none"
"RMVT";"IT";"Roma_Vitorchiano";"41.9560";"12.4859";"76";"T1";"D*";"missing";"none"
"RNI2";"IV";"Rionere_Sannitico";"41.7032";"14.1524";"950";"T1*";"A*";"missing";"none"
"ROM9";"IV";"Roma_sede";"41.8284";"12.5155";"110";"T1";"B";"B";"none"
"RONC";"ST";"Roncone";"45.9802";"10.6228";"1913";"T4**";"A**";"missing";"none"
"ROVR";"IV";"Rovere_Veronese";"45.6468";"11.0721";"1316";"T2**";"A*";"missing";"none"
"RRL";"GU";"Rocca_Remolon";"44.9210";"6.7900";"2175";"T2*";"A**";"missing";"none"
"RSF3";"IX";"Rocca_San_Felice";"40.9643";"15.1760";"865";"T1";"B*";"missing";"none"
"RSP";"GU";"Reno_Superiore";"45.1481";"7.2653";"1285";"T2";"A**";"missing";"none"
"SABO";"OX";"Mt_Sabotino";"45.9875";"13.6337";"621";"T4*";"B*";"missing";"none"
"SACR";"IV";"S_Croce_Sannio";"41.3974";"14.7057";"859";"T1";"A*";"missing";"none"
"SACS";"IV";"San_Casciano_Bagni";"42.8490";"11.9096";"845";"T1";"B*";"missing";"none"
"SAIV";"IV";"SantAngelo_in_Vado";"43.6648";"12.4130";"360";"T1";"C*";"missing";"none"
"SALB";"IV";"San_Lorenzo_Bellizzi";"39.8772";"16.3459";"1200";"T2**";"B*";"missing";"none"
"SALI";"IX";"SantAngelo_dei_Lombardi";"40.9300";"15.1800";"872";"T1";"B**";"missing";"none"
"SALO";"IV";"Salo";"45.6183";"10.5243";"600";"T2*";"A*";"missing";"none"
"SANR";"IV";"Sandrigo";"45.6400";"11.6099";"51";"T1";"C";"C";"WG_INGV_DPC-B2_2016(See full reference)"
"SARZ";"IV";"Sarezzano";"44.8673";"8.9136";"266";"T1";"B*";"missing";"none"
"SATI";"GU";"Passo_Salati";"45.8753";"7.8685";"3005";"T2*";"A*";"missing";"none"
"SBPO";"IV";"San_Benedetto_Po";"45.0510";"10.9198";"10";"T1*";"C**";"missing";"none"
"SCIAR";"IV";"Sciara";"37.9406";"13.7492";"490";"T1*";"B*";"missing";"none"
"SCL3";"IX";"Muro_Lucano";"40.6951";"15.5114";"744";"T2*";"B*";"missing";"none"
"SEF1";"IV";"Sefro";"43.1468";"12.9476";"518";"T1*";"E";"E";"WG_INGV_DPC-B2_2018(See full reference)"
"SELL";"XK";"Sellia";"38.9830";"16.6279";"633";"missing";"A*";"missing";"none"
"SENI";"IV";"Senigallia";"43.7052";"13.2331";"10";"T1";"C";"C";"none"
"SERM";"IV";"Semide";"45.0099";"11.2958";"7";"T1";"C**";"missing";"none"
"SERS";"IV";"Sersale";"39.0359";"16.6886";"1221";"T2*";"A**";"missing";"none"
"SFI";"IV";"S_Sofia";"43.9047";"11.8469";"548";"T1*";"B*";"missing";"none"
"SFL3";"IX";"San_Fele";"40.7889";"15.5782";"1062";"T2*";"B*";"missing";"none"
"SGAL";"IV";"Botticino_San_Gallo";"45.5635";"10.3106";"460";"T2";"A*";"missing";"none"
"SGG";"IV";"San_Gregorio_Matese";"41.3867";"14.3791";"880";"T2*";"A*";"missing";"none"
"SGO";"IV";"Siciniano_Alburni";"40.5604";"15.3073";"651";"missing";"A*";"missing";"none"
"SGSC";"IT";"San_Giuliano_Puglia";"41.6892";"14.9581";"517";"T1";"B*";"missing";"none"
"SGTA";"IV";"Sant_Agata_Puglia";"41.1350";"15.3650";"890";"T1";"B*";"missing";"none"
"SIRI";"IV";"Monte_Sirino_Moliterno";"40.1821";"15.8675";"1063";"T2*";"B*";"missing";"none"
"SLC1";"IT";"Sala_Consilina";"40.3951";"15.5960";"563";"T1";"C**";"missing";"none"
"SLCN";"IV";"Sala_Consilina";"40.3900";"15.6327";"986";"T3**";"B*";"missing";"none"
"SNAL";"IV";"San_Angelo_Lombardi";"40.9254";"15.2090";"874";"T2*";"A*";"missing";"none"
"SNR3";"IX";"Senerchia";"40.7357";"15.1927";"1009";"T2**";"B*";"missing";"none"
"SNS1";"IT";"Sansepolcro";"43.5735";"12.1312";"366";"T1";"C**";"missing";"none"
"SNTG";"IV";"Esanatoglia";"43.2550";"12.9405";"650";"T2";"A*";"missing";"none"
"SRN3";"IX";"Sant_Arsenio";"40.4861";"15.4580";"1067";"T2**";"B*";"missing";"none"
"SSB3";"IX";"San_Sossio_Baronia";"41.0785";"15.2292";"724";"T1";"B*";"missing";"none"
"SSFR";"IV";"Montelago_Sassoferrato";"43.4362";"12.7822";"750";"T1";"A*";"missing";"none"
"SSM1";"IV";"San_Severino_Marche";"43.2287";"13.1769";"240";"T1";"B*";"missing";"none"
"SSY";"IV";"Sortino";"37.1577";"15.0737";"600";"T2*";"A*";"missing";"none"
"STAL";"IV";"Staligial";"46.2601";"12.7104";"625";"T2";"B*";"missing";"none"
"STN3";"IX";"Satriano";"40.5300";"15.6515";"832";"T1**";"B*";"missing";"none"
"SULA";"IT";"Sulmona";"42.0734";"13.9166";"412";"T1";"C**";"missing";"none"
"SULC";"IT";"Sulmona";"42.0680";"13.9090";"423";"T1";"C**";"missing";"none"
"SULP";"IT";"Sulmona";"42.0850";"13.9274";"405";"T1";"B**";"missing";"none"
"T0104";"IV";"Zona_Coppito";"42.3599";"13.3382";"754";"T2**";"B*";"missing";"none"
"T0701";"IV";"Zona_Pollino";"39.9861";"16.1161";"882";"T2*";"B*";"missing";"none"
"T0721";"IV";"Laino_Castello";"39.9369";"15.9769";"535";"T2**";"A*";"missing";"none"
"T0724";"IV";"Tremoli";"39.8487";"15.8764";"357";"T2*";"B*";"missing";"none"
"T0819";"IV";"Novi_Modena";"44.8873";"10.8987";"19";"T1";"C";"missing";"UniBas_SIGMA_Project(See full reference)"
"T0821";"IV";"Casaglia";"44.9035";"11.5406";"3";"T1";"C";"missing";"Laurenzano_et_al_2013(See full reference)"
"T0911";"IV";"Castelpoggio";"44.1117";"10.0737";"520";"T2*";"B*";"missing";"none"
"T0912";"IV";"Milucciano";"44.1685";"10.2095";"687";"T1*";"A*";"missing";"none"
"T1011";"IV";"San_Potito_Sannitico";"41.3596";"14.4174";"1152";"T3*";"A*";"missing";"none"
"T1012";"IV";"Faicchio";"41.2623";"14.4965";"599";"T3*";"A*";"missing";"none"
"T1101";"IV";"Campobasso";"41.4746";"14.5360";"510";"T1";"C**";"missing";"none"
"T1201";"IV";"Domo";"42.6573";"13.2508";"934";"T2**";"B*";"missing";"none"
"T1211";"IV";"Morro_Reatino";"42.5328";"12.8551";"979";"T2";"A**";"missing";"none"
"T1212";"IV";"Cascia_Avendita";"42.7515";"13.0446";"869";"T1";"B*";"missing";"none"
"T1213";"IV";"Norcia_Savelli";"42.7249";"13.1257";"860";"T1";"B*";"missing";"none"
"T1214";"IV";"Arquata_del_Tronto";"42.7595";"13.2086";"1490";"T1";"A*";"missing";"none"
"T1215";"IV";"Reggiano";"42.8018";"12.8685";"695";"T1*";"B*";"missing";"none"
"T1216";"IV";"Castelvecchio";"42.8906";"13.0190";"620";"T1*";"B*";"missing";"none"
"T1217";"IV";"Poggiodomo";"42.7119";"12.9313";"1004";"T2*";"B*";"missing";"none"
"T1218";"IV";"Civita";"42.6699";"13.1152";"1184";"T1";"B**";"missing";"none"
"T1219";"IV";"Massaprofoglio";"43.0558";"13.0047";"717";"T1";"B*";"missing";"none"
"T1220";"IV";"Baregnano";"43.1101";"13.0889";"474";"T1";"B*";"missing";"none"
"T1221";"IV";"Spina_Nuova";"42.8561";"12.8414";"951";"T1";"A*";"missing";"none"
"T1222";"IV";"Castel_S_Angelo_Ville";"42.4013";"13.0367";"556";"T1*";"B*";"missing";"none"
"T1241";"IV";"Osoli";"42.8563";"13.4311";"664";"T2**";"B*";"missing";"none"
"T1242";"IV";"Castelluccio_Norcia";"42.8292";"13.2043";"1451";"T2**";"A*";"missing";"none"
"T1243";"IV";"Ceppo_Pietralta";"42.6965";"13.4483";"1120";"T2*";"B*";"missing";"none"
"T1244";"IV";"Spelonga";"42.7569";"13.2977";"950";"T2*";"B*";"missing";"none"
"T1245";"IV";"Castel_S_Angelo_sul_Nera";"42.8565";"13.1879";"1541";"T4";"A**";"missing";"none"
"T1256";"IV";"Sassotetto";"43.0063";"13.2260";"1536";"T2";"A*";"missing";"none"
"T1299";"IV";"Amatrice";"42.6342";"13.2822";"940";"T1*";"B*";"missing";"none"
"T1361";"ZM";"Lacco_Ameno";"40.7566";"13.8788";"7";"T1*";"B*";"missing";"none"
"T1363";"ZM";"Casamicciola";"40.7455";"13.9135";"50";"T1*";"B*";"missing";"none"
"T1365";"ZM";"Barano";"40.7014";"13.9181";"130";"T2";"B*";"missing";"none"
"T1366";"ZM";"Casamicciola";"40.7373";"13.9046";"213";"T2*";"B*";"missing";"none"
"T1411";"YD";"Gugnonesi";"41.9461";"14.9257";"121";"missing";"B*";"missing";"none"
"T1412";"YD";"Lupara";"41.7839";"14.7675";"420";"missing";"B*";"missing";"none"
"T1413";"YD";"San_Martino_Pensilis";"41.8520";"15.0171";"240";"missing";"B*";"missing";"none"
"T1414";"YD";"Larino";"41.8198";"14.8976";"290";"missing";"B*";"missing";"none"
"T1415";"YD";"Palata";"41.8795";"14.8249";"420";"missing";"B*";"missing";"none"
"T1573";"X3";"Gallitello";"37.8628";"12.9300";"183";"missing";"C*";"missing";"none"
"T1574";"X3";"Salemi";"37.8421";"12.8223";"461";"missing";"A*";"missing";"none"
"T1581";"X3";"Borgo_Fazio";"37.8533";"12.6877";"270";"missing";"A*";"missing";"none"
"T1582";"X3";"Santa_Ninfa";"37.7461";"12.7781";"164";"missing";"B*";"missing";"none"
"TEGI";"IX";"Teggiano";"40.3799";"15.5365";"568";"T2*";"A**";"missing";"none"
"TERO";"IV";"Teramo";"42.6227";"13.6039";"673";"T3*";"B*";"missing";"none"
"TIP";"MN";"Timpagrande";"39.1794";"16.7583";"789";"T1*";"A**";"missing";"none"
"TRE1";"IV";"Treia";"43.3111";"13.3128";"330";"T3**";"B*";"missing";"none"
"TREG";"IV";"Tregnago";"45.5229";"11.1606";"342";"T1";"C**";"missing";"none"
"TREM";"IV";"Isole_Tremiti_S.Nicola";"42.1230";"15.5100";"120";"missing";"B*";"missing";"none"
"TRIV";"IV";"Trivento";"41.7666";"14.5502";"598";"T1";"B*";"missing";"none"
"TRN1";"IT";"Terni";"42.5582";"12.6461";"175";"T1";"D*";"missing";"none"
"TUE";"MN";"Stuetta";"46.4722";"9.3473";"1924";"T1*";"A*";"missing";"none"
"UMBT";"IT";"Umbertide";"43.3040";"12.3437";"252";"missing";"C*";"missing";"none"
"VAGA";"IV";"Valle_Agricola";"41.4154";"14.2342";"795";"T2*";"A*";"missing";"none"
"VALS";"IT";"Valles";"46.3388";"11.8017";"2086";"T1";"B*";"missing";"none"
"VARA";"ST";"Varagna";"45.8260";"10.8965";"1735";"T4**";"A*";"missing";"none"
"VARN";"OX";"Varnada";"45.9933";"12.1048";"1265";"T3*";"A*";"missing";"none"
"VDP3";"IX";"Vietri_di_Potenza";"40.6052";"15.5721";"959";"T1**";"B*";"missing";"none"
"VDS3";"IX";"Muro_Lucano";"40.7408";"15.4270";"1154";"T3*";"B*";"missing";"none"
"VENL";"IV";"Venezia_Lido";"45.4167";"12.3765";"4";"T1";"D*";"missing";"none"
"VGG3";"IX";"Viggiano";"40.3360";"15.9010";"882";"T2*";"B*";"missing";"none"
"VITU";"IV";"Vitulano";"41.1832";"14.6301";"848";"T2*";"A*";"missing";"none"
"VLC";"MN";"Villacollemandina";"44.1594";"10.3864";"555";"T1";"A*";"missing";"none"
"VNF1";"IT";"Venafro";"41.4805";"14.0501";"231";"T1";"C**";"missing";"none"
"VOBA";"IV";"Vobarno";"45.6429";"10.5040";"292";"T1*";"C*";"missing";"none"
"VOLT";"IV";"Volta_Mantovana";"45.3132";"10.6605";"107";"missing";"B*";"missing";"none"
"VRB";"IT";"Verbania";"45.9318";"8.5589";"268";"T1";"C**";"missing";"none"
"VULT";"IV";"Monte_Vulture";"40.9549";"15.6163";"1101";"T3*";"B*";"missing";"none"
"VVLD";"IV";"Villavallelonga";"41.8696";"13.6232";"1051";"T2**";"B*";"missing";"none"
"WDD";"MN";"Wied_Dalam";"35.8373";"14.5242";"44";"T1*";"A*";"missing";"none"
"ZCCA";"IV";"Zocca";"44.3508";"10.9765";"700";"T1*";"B*";"missing";"none"
"ZEN8";"IV";"San_Zeno_Montagna";"45.6378";"10.7319";"596";"T2**";"A**";"missing";"none"
"ZIAN";"ST";"Ziano";"46.2764";"11.5632";"1154";"T2*";"A**";"missing";"none"
"ZONE";"IV";"Zone";"45.7636";"10.1171";"691";"T1";"B*";"missing";"none"
"ZOU2";"OX";"Zouf_Plan";"46.5584";"12.9729";"1911";"T4*";"B*";"missing";"none"
"ZOVE";"IV";"Zovencedo";"45.4536";"11.4876";"376";"T2**";"A**";"missing";"none"